zip,lat,lgt
01011,42.293923206,-72.967189321
01012,42.378454673,-72.840033982
01013,42.162351473,-72.607864374
01014,42.145695,-72.608228
01020,42.1757725,-72.575985011
01021,42.15852,-72.585325
01022,42.19509398,-72.558936737
01026,42.467389904,-72.919570535
01027,42.268547301,-72.677164773
01028,42.064168083,-72.506626874
01030,42.07057072,-72.674081917
01031,42.329299709,-72.182769894
01032,42.453466299,-72.82149931
01033,42.253560232,-72.525698729
01034,42.068522254,-72.934141492
01035,42.356355969,-72.572935981
01036,42.065813546,-72.427045342
01038,42.376239033,-72.605400453
01039,42.391581172,-72.690545476
01040,42.202484559,-72.626168507
01041,42.202030122,-72.614697423
01050,42.267572077,-72.865437839
01053,42.35229763,-72.698668519
01054,42.468779322,-72.497009207
01056,42.173375343,-72.469938776
01057,42.097930537,-72.321319494
01060,42.324184475,-72.636430051
01061,42.321612,-72.627163
01062,42.325838836,-72.677840747
01068,42.348979697,-72.05266398
01069,42.17003683,-72.324353807
01070,42.516928906,-72.920993698
01071,42.161649758,-72.857232337
01072,42.468744934,-72.428015628
01073,42.225746693,-72.717547067
01075,42.237604378,-72.583136269
01077,42.053672489,-72.769547254
01080,42.181195383,-72.362651596
01081,42.059810392,-72.225580209
01082,42.264579363,-72.257592337
01084,42.377667612,-72.881650469
01085,42.128523472,-72.749353518
01088,42.387191267,-72.637444061
01089,42.115740537,-72.638990235
01090,42.106201,-72.621969
01095,42.130919784,-72.443856879
01096,42.411740104,-72.76759718
01098,42.397840854,-72.936515246
01101,42.106324,-72.597415
01103,42.103522208,-72.588308434
01104,42.128674347,-72.577797897
01105,42.101359561,-72.578245433
01106,42.051525064,-72.566387185
01107,42.118835025,-72.606587369
01108,42.08538429,-72.558380855
01109,42.116489636,-72.551750145
01116,42.0447,-72.553
01118,42.093035718,-72.527908156
01119,42.127260931,-72.510983907
01128,42.095888581,-72.488332995
01129,42.124153448,-72.488337755
01138,42.087164,-72.563331
01139,42.112678,-72.560604
01151,42.154694536,-72.503699026
01201,42.451932129,-73.248544011
01202,42.449464,-73.248752
01220,42.623507536,-73.117659061
01222,42.060039674,-73.31592975
01223,42.294433396,-73.086035821
01224,42.506298056,-73.199321398
01225,42.561957355,-73.15407161
01226,42.470162387,-73.16530763
01227,42.472901,-73.164147
01230,42.191479452,-73.360732869
01235,42.433405982,-73.0829658
01236,42.259155507,-73.373707977
01237,42.516198935,-73.235093485
01238,42.305310781,-73.246137235
01240,42.364734276,-73.272658116
01245,42.194404401,-73.170533204
01247,42.698506798,-73.108800921
01253,42.225757529,-73.107077853
01254,42.375534764,-73.359885364
01255,42.113526098,-73.126270869
01256,42.575160866,-73.017328749
01257,42.106517532,-73.357328646
01258,42.142367921,-73.429924851
01259,42.06909012,-73.262982027
01266,42.324691549,-73.375335567
01267,42.708122305,-73.216470845
